City ID,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
66,Busselton,AU,2021-10-23 21:10:38,-33.65,115.3333,50.09,80,92,5.46
67,Muzhi,RU,2021-10-23 21:13:58,65.3667,64.6667,29.35,76,75,19.22
68,Cervo,ES,2021-10-23 21:12:15,43.6702,-7.4101,54.97,76,59,3.31
69,Dolinsk,RU,2021-10-23 21:13:59,47.35,142.8,24.66,90,6,8.16
70,Mahébourg,MU,2021-10-23 21:10:48,-20.4081,57.7,74.25,71,63,11.74
71,Villa Vicente Guerrero,MX,2021-10-23 21:13:59,19.1194,-98.1708,65.59,65,97,10.38
72,Yar-Sale,RU,2021-10-23 21:12:37,66.8333,70.8333,30.0,92,100,11.36
73,Ribeira Grande,PT,2021-10-23 21:10:36,38.5167,-28.7,67.21,72,17,13.2
74,Olafsvik,IS,2021-10-23 21:14:00,64.8945,-23.7142,45.66,91,100,12.12
75,Khandyga,RU,2021-10-23 21:14:00,62.6667,135.6,4.21,96,100,2.95
76,Nouadhibou,MR,2021-10-23 21:12:49,20.931,-17.0347,68.45,82,0,22.59
77,Oberstdorf,DE,2021-10-23 21:14:01,47.4,10.2833,41.43,84,4,1.99
78,Akdepe,TM,2021-10-23 21:14:01,42.0551,59.3788,46.49,35,0,9.46
79,Zabul Province,AF,2021-10-23 21:13:38,32.25,67.25,44.26,28,0,6.22
80,Sittwe,MM,2021-10-23 21:14:02,20.15,92.9,75.06,86,100,5.17
81,Arraial do Cabo,BR,2021-10-23 21:10:44,-22.9661,-42.0278,73.26,78,0,20.71
82,Ituiutaba,BR,2021-10-23 21:14:03,-18.9689,-49.465,86.16,39,29,5.08
83,La Ronge,CA,2021-10-23 21:10:41,55.1001,-105.2842,42.51,57,10,16.08
84,Sechura,PE,2021-10-23 21:14:03,-5.5569,-80.8222,74.43,62,100,16.22
85,Wajima,JP,2021-10-23 21:14:03,37.4,136.9,56.61,57,54,3.6
86,Sinnamary,GF,2021-10-23 21:13:07,5.3833,-52.95,79.99,85,100,11.59
87,Tateyama,JP,2021-10-23 21:14:04,34.9833,139.8667,51.82,58,75,9.91
88,Bairnsdale,AU,2021-10-23 21:11:05,-37.8333,147.6167,55.71,77,100,3.0
89,Villamontes,BO,2021-10-23 21:14:04,-21.25,-63.5,95.97,28,60,18.32
90,Dikson,RU,2021-10-23 21:11:48,73.5069,80.5464,8.22,88,98,12.41
91,Maniitsoq,GL,2021-10-23 21:14:04,65.4167,-52.9,26.92,48,100,6.38
92,Kaharlyk,UA,2021-10-23 21:14:05,49.8623,30.8282,46.44,67,14,7.81
93,Akureyri,IS,2021-10-23 21:11:45,65.6835,-18.0878,40.28,100,100,2.82
94,Aldan,RU,2021-10-23 21:14:05,58.6031,125.3894,28.83,84,100,7.34
95,Portland,US,2021-10-23 21:09:54,45.5234,-122.6762,56.28,94,90,1.99
96,Hermanus,ZA,2021-10-23 21:11:01,-34.4187,19.2345,56.89,71,12,3.42
97,Kapit,MY,2021-10-23 21:12:38,2.0167,112.9333,72.64,100,97,0.92
98,Dubti,ET,2021-10-23 21:14:06,11.7361,41.0853,86.67,38,23,16.49
99,Eureka,US,2021-10-23 21:12:39,40.8021,-124.1637,63.25,71,99,11.01
100,Khatanga,RU,2021-10-23 21:11:43,71.9667,102.5,10.36,93,100,16.75
101,Tessalit,ML,2021-10-23 21:14:07,20.1986,1.0114,87.58,18,34,8.41
102,Cosenza,IT,2021-10-23 21:09:22,39.31,16.2502,68.92,92,98,5.79
103,Codrington,AU,2021-10-23 21:12:19,-38.2667,141.9667,49.93,71,59,13.13
104,São Filipe,CV,2021-10-23 21:11:27,14.8961,-24.4956,79.86,71,5,6.42
105,Castro,BR,2021-10-23 21:09:45,-24.7911,-50.0119,68.23,66,91,5.66
106,Namtsy,RU,2021-10-23 21:14:08,62.7161,129.6658,21.31,96,100,5.14
107,Coquimbo,CL,2021-10-23 21:10:51,-29.9533,-71.3436,62.33,63,0,12.66
108,Margate,GB,2021-10-23 21:14:08,51.3813,1.3862,55.31,74,21,14.23
109,Oranjemund,NA,2021-10-23 21:14:08,-28.55,16.4333,57.43,81,0,15.21
110,Bredasdorp,ZA,2021-10-23 21:10:35,-34.5322,20.0403,54.28,72,40,3.44
111,Tiksi,RU,2021-10-23 21:11:20,71.6872,128.8694,0.88,97,100,7.65
